"RAW CONSOLIDATED BACKUP  |  5,864 RECORDS  |  All source data preserved",,,,,,,,,,,,,,,,,,,,,,
Company Name,City,Country,Email,Website,Product Category,Certifications,Cert Body,Cert Status,Cert Expiry Date,Notes,Source Sheet,Year First Added,Current Status,Full Address,Products,Primary Contact Name,Last Contact Date,Contract Signed,Account Manager,Latest Quotation,Name_Key,Supplier ID
VINAMIT JOINT STOCK COMPANY,Ben Cat Town,Vietnam,,,Dried Fruits,Food,Bureau Veritas Certification UK,Certificated,2026-07-01 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,vinamit joint stock company,SUP-04424
Global Co-packing B.V.,NIEUWKUIJK,Netherlands,,,Dried Fruits,Food,Kiwa VERIN B.V.,Certificated,2026-08-29 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,global copacking bv,SUP-01643
MALATYA PAZARI KURUYEMISCILIK SAN. TIC. A.S.,Istanbul,Turkey,,,Dried Fruits,Food,Kiwa Agri Food,Certificated,2026-07-12 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,malatya pazari kuruyemiscilik san tic as,SUP-02566
ABL Nuts ApS,Kruså,Denmark,,,Dried Fruits,Food,DNV Business Assurance Italy S.r.l.,Certificated,2026-07-18 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,abl nuts aps,SUP-00059
NHA MAN COMPANY LIMITED,Sa Dec City,Vietnam,,,Dried Fruits,Food,Intertek Certification Limited,Certificated,2026-07-24 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,nha man company limited,SUP-02920
Fruits and Concentrates International Pty Ltd,TURRAMURRA,Australia,,,Dried Fruits,Agents and Brokers,BSI Assurance UK Ltd,Certificated,2026-07-02 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,fruits and concentrates international pty ltd,SUP-01540
System Multifood Gida Tek. Mak. San. Ve Diş Tic. Ltd. Şti.,"Ege Serbest Bölge, Gaziemir",Turkey,,,Dried Fruits,Food,AIB International Certification Services,Certificated,2026-09-08 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,system multifood gida tek mak san ve di tic ltd ti,SUP-04047
Soulful Treenuts Global LLC,Miami Beach,USA,,,Dried Fruits,Agents and Brokers,"NSF Certification, LLC",Certificated,2026-06-23 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,soulful treenuts global llc,SUP-03882
Ranson NV,Harelbeke,Belgium,,,Dried Fruits,Agents and Brokers,VINCOTTE NV/SA,Certificated,2026-06-26 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,ranson nv,SUP-03414
"UAB ""Geld Baltic""",Panevezys,Lithuania,,,Dried Fruits,Food,GLOBAL QUALITY Sp. z o.o.,Certificated,2026-06-17 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,uab geld baltic,SUP-04269
MENEXOPOULOS D. BROS S.A. – “DRYFO”,Thessaloniki,Greece,,,Dried Fruits,Food,LRQA Ltd - UK,Certificated,2026-06-29 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,menexopoulos d bros sa  dryfo,SUP-02662
"CP GREEO Agricultural Technology (Shandong) Co., Ltd.",SHOUGUANG,China,,,Dried Fruits,Food,Intertek Certification Limited,Certificated,2026-06-24 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,cp greeo agricultural technology shandong co ltd,SUP-01078
OSMAN AKÇA A.Ş. - Aydin,Aydin,Turkey,,,Dried Fruits,Food,AIB International Certification Services,Certificated,2026-08-09 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,osman aka a  aydin,SUP-03087
"Laiyang Hengrun Foodstuff Co., Ltd.",Yantai City,China,,,Dried Fruits,Food,SGS United Kingdom Ltd,Certificated,2026-06-24 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,laiyang hengrun foodstuff co ltd,SUP-02411
"IMPORTACO CASA PONS, S.A.U.",Albal,Spain,,,Dried Fruits,Food,LRQA Ltd - UK,Certificated,2026-06-28 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,importaco casa pons sau,SUP-02009
ALTERNA GIDA SAN. PAZ. VE TIC. A.S.,Istanbul,Turkey,,,Dried Fruits,Food,RINA AGRIFOOD S.p.A.,Certificated,2026-06-16 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,alterna gida san paz ve tic as,SUP-00344
Freshbak Organik Doğal Gıda San ve Tic A.Ş,izmir,Turkey,,,Dried Fruits,Food,RINA AGRIFOOD S.p.A.,Certificated,2026-06-01 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,freshbak organik doal gda san ve tic a,SUP-01519
"Shandong Wanrui Food Co., Ltd.",Linyi City,China,,,Dried Fruits,Food,GLOBAL QUALITY Sp. z o.o.,Certificated,2026-06-02 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,shandong wanrui food co ltd,SUP-03716
Doğancan Gıda Tarım Ürünleri İnşaat Turizm Sanayi ve Ticaret Limited Şirketi,MALATYA,Turkey,,,Dried Fruits,Food,Intertek Certification Limited,Certificated,2026-08-14 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,doancan gda tarm rnleri inaat turizm sanayi ve ticaret limited irketi,SUP-01212
"Qingdao Sunrise Health Co., Ltd.",Qingdao City,China,,,Dried Fruits,Food,SGS United Kingdom Ltd,Certificated,2026-06-28 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,qingdao sunrise health co ltd,SUP-03362
Sottelestelle Srl Società Benefit,San Giovanni Rotondo (FG),Italy,,,Dried Fruits,Food,DNV Business Assurance Italy S.r.l.,Certificated,2026-06-25 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,sottelestelle srl societ benefit,SUP-03880
SERRE TEKNOLOJİ TARIM HAYVANCILIK İTH. İHR. TİC. LTD. ŞTİ.,Polatlı,Turkey,,,Dried Fruits,Food,ISOQAR Limited,Certificated,2026-05-31 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,serre teknoloji tarim hayvancilik ith ihr tic ltd ti,SUP-03668
RM Import A/S,,Denmark,,,Dried Fruits,Food,Intertek Certification Limited,Certificated,2026-06-23 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,rm import as,SUP-03481
Grupa Producentów Klasa Sp. z o.o.,KURÓW,Poland,,,Dried Fruits,Food,CSQA Certificazioni SRL,Certificated,2026-05-24 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,grupa producentw klasa sp z oo,SUP-01754
"Caudill Seed Company (DBA Whole Alternatives LLC, Caudill Sprouting LLC, & C S Health LLC)",Louisville,USA,,,Dried Fruits,Food,WQS LLC. (QIMA/WQS),Certificated,2026-06-12 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,caudill seed company dba whole alternatives llc caudill sprouting llc  c s health llc,SUP-00896
Intersnack Nederland B.V.,HARDINXVELD,Netherlands,,,Dried Fruits,Food,Kiwa VERIN B.V.,Certificated,2026-06-30 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,intersnack nederland bv,SUP-02066
"Shandong Jiago Food Technology Co., Ltd.",Jining City,China,,,Dried Fruits,Food,SGS United Kingdom Ltd,Certificated,2026-06-09 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,shandong jiago food technology co ltd,SUP-03709
Menken Orlando B.V.,HAZERSWOUDE,Netherlands,,,Dried Fruits,Food,DNV Business Assurance Italy S.r.l.,Certificated,2026-08-03 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,menken orlando bv,SUP-02663
Ceres Natural Foods Pty Ltd trading as Pureharvest and Living Planet,Drouin,Australia,,,Dried Fruits,Food,BSI Assurance UK Ltd,Certificated,2026-06-23 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,ceres natural foods pty ltd trading as pureharvest and living planet,SUP-00914
Chocolat Lamontagne Inc,Sherbrooke,Canada,,,Dried Fruits,Food,"NSF Certification, LLC",Certificated,2026-06-15 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,chocolat lamontagne inc,SUP-00970
BEST FOOD CO (L.L.C),Dubai,UAE,,,Dried Fruits,Food,SGS United Kingdom Ltd,Certificated,2026-04-21 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,best food co llc,SUP-00693
Production La Prade,Mazamet,France,,,Dried Fruits,Food,Micron2 Ltd,Certificated,2026-08-06 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,production la prade,SUP-03289
Maître prunille saint quentin,Saint-Quentin-du-Dropt,France,,,Dried Fruits,Food,Eurofins Certification,Certificated,2026-06-10 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,matre prunille saint quentin,SUP-02623
"Island Snacks, Inc.",Buena Park,USA,,,Dried Fruits,Food,WQS LLC. (QIMA/WQS),Certificated,2026-05-22 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,island snacks inc,SUP-02081
PEYMAN KURUYEMİŞ GIDA AKTARİYE KİMYEVİ MADDELER TARIM ÜRÜNLERİ SAN. VE TİC. A.Ş.,ESKİŞEHİR,Turkey,,,Dried Fruits,Food,Intertek Certification Limited,Certificated,2026-05-29 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,peyman kuruyemi gida aktariye kimyevi maddeler tarim rnleri san ve tic a,SUP-03179
DOHLER EGE GIDA SANAYI A.S.,IZMIR,Turkey,,,Dried Fruits,Food,LRQA Ltd - UK,Certificated,2026-06-03 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,dohler ege gida sanayi as,SUP-01216
Işık Tarım Ürünleri Sanayi ve Ticaret A.Ş. - Merkez Kemalpaşa,Merkez Kemalpaşa,Turkey,,,Dried Fruits,Food,AIB International Certification Services,Certificated,2026-06-30 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,ik tarm rnleri sanayi ve ticaret a  merkez kemalpaa,SUP-02001
AIB Foods Limited,Wolverhampton,United Kingdom,,,Dried Fruits,Food,SAI Global Certification Services Pty Ltd,Certificated,2026-09-01 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,aib foods limited,SUP-00256
Bauderer Packaging Company,Addison,USA,,,Dried Fruits,Food,WQS LLC. (QIMA/WQS),Certificated,2026-07-05 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,bauderer packaging company,SUP-00645
"Lantmännen Cerealia AS, Moss",Moss,Norway,,,Dried Fruits,Food,DNV Business Assurance Italy S.r.l.,Certificated,2026-05-21 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,lantmnnen cerealia as moss,SUP-02429
Whitworths Limited,Irthlingborough,United Kingdom,,,Dried Fruits,Food,SAI Global Certification Services Pty Ltd,Certificated,2026-05-19 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,whitworths limited,SUP-04511
"Suzhou Youi Group Co., Ltd.",Suzhou City,China,,,Dried Fruits,Food,SGS United Kingdom Ltd,Certificated,2026-05-25 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,suzhou youi group co ltd,SUP-04036
BINH PHUOC BRANCH – VIETNAM HANFIMEX GROUP JOINT STOCK COMPANY,Phu Rieng District,Vietnam,,,Dried Fruits,Food,SGS United Kingdom Ltd,Certificated,2026-07-13 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,binh phuoc branch  vietnam hanfimex group joint stock company,SUP-00726
Exotic Snacks AB,Skogås,Sweden,,,Dried Fruits,Food,Kiwa Agri Food,Certificated,2026-05-15 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,exotic snacks ab,SUP-01395
Pmsweet SA,Dison,Belgium,,,Dried Fruits,Food,ProCert AG,Certificated,2026-05-15 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,pmsweet sa,SUP-03212
EGIDIO GALBANI S.r.l.,Ospedaletto Lodigiano,Italy,,,Dried Fruits,Storage and Distribution,SGS United Kingdom Ltd,Certificated,2026-07-12 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,egidio galbani srl,SUP-01299
"Demin (Tianjin) Supply Chain Management Co., Ltd",Tianjin,China,,,Dried Fruits,Food,"CHINA QUALITY MARK CERTIFICATION GROUP CO.,LTD",Certificated,2026-05-23 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,demin tianjin supply chain management co ltd,SUP-01164
IKBAL SEKERLEME GIDA SAN. TIC. A.S.,Afyonkarahisar,Turkey,,,Dried Fruits,Food,LRQA Ltd - UK,Certificated,2026-05-17 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,ikbal sekerleme gida san tic as,SUP-02002
Shepcote Distributors Ltd,Yorkshire,United Kingdom,,,Dried Fruits,Food,FoodChain ID Certification Ltd,Certificated,2026-05-04 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,shepcote distributors ltd,SUP-03756
CANDIA NUTS SA,HERAKLIONS,Greece,,,Dried Fruits,Food,Micron2 Ltd,Certificated,2026-04-30 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,candia nuts sa,SUP-00867
"Anhui Weilai Biotechnology Co., Ltd.",Xuancheng,China,,,Dried Fruits,Food,CQC,Certificated,2026-05-17 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,anhui weilai biotechnology co ltd,SUP-00415
"Xinghua Lianfu Food Co., Ltd.",Xinghua City,China,,,Dried Fruits,Food,SGS United Kingdom Ltd,Certificated,2026-05-06 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,xinghua lianfu food co ltd,SUP-04550
"Heritage Snacks & Food Co., Ltd",Krathum Ban,Thailand,,,Dried Fruits,Food,BSI Assurance UK Ltd,Certificated,2026-05-07 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,heritage snacks  food co ltd,SUP-01889
Patisfood Grup Gıda Sanayi ve Ticaret Anonim Şirketi-Fabrika 2 Şubesi,Ankara,Turkey,,,Dried Fruits,Food,LRQA Ltd - UK,Certificated,2026-04-24 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,patisfood grup gda sanayi ve ticaret anonim irketifabrika 2 ubesi,SUP-03144
Mely Çikolata Anonim Şirketi,Istanbul,Turkey,,,Dried Fruits,Food,SGS United Kingdom Ltd,Certificated,2026-05-01 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,mely ikolata anonim irketi,SUP-02658
"Qingdao Wolong Food Co., Ltd.",Qingdao City,China,,,Dried Fruits,Food,SGS United Kingdom Ltd,Certificated,2026-05-01 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,qingdao wolong food co ltd,SUP-03364
K.F.C. Gida Tekstil Sanayi Ith. Ihr. Yatirim A.S. - Site 1,Izmir,Turkey,,,Dried Fruits,Food,Merieux NutriSciences Certification,Certificated,2026-06-16 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,kfc gida tekstil sanayi ith ihr yatirim as  site 1,SUP-02303
D.A.R. Srl,Lauro (AV),Italy,,,Dried Fruits,Food,Bureau Veritas Certification UK,Certificated,2026-04-26 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,dar srl,SUP-01131
"Hangzhou Yaoshengji Food Co., LTD",Hangzhou City,China,,,Dried Fruits,Food,Intertek Certification Limited,Certificated,2026-07-03 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,hangzhou yaoshengji food co ltd,SUP-01840
Emco spol. s.r.o. - Litomerice,Litomerice,Czech Republic,,,Dried Fruits,Food,LRQA Ltd - UK,Certificated,2026-04-29 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,emco spol sro  litomerice,SUP-01332
GO Superfoods Ltd,Sheffield,United Kingdom,,,Dried Fruits,Food,ISOQAR Limited,Certificated,2026-04-21 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,go superfoods ltd,SUP-01660
Antichi Sapori dell'Etna Srl,Bronte (CT),Italy,,,Dried Fruits,Food,DNV Business Assurance Italy S.r.l.,Certificated,2026-05-09 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,antichi sapori delletna srl,SUP-00429
FRUBELLA PROCESSING SP. Z O.O.,Białobrzegi,Poland,,,Dried Fruits,Food,CSI SpA,Certificated,2026-04-19 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,frubella processing sp z oo,SUP-01532
MONBAKE GRUPO EMPRESARIAL S.A.U. (SARRIGUREN),PAMPLONA,Spain,,,Dried Fruits,Food,"AENOR Confía, S.A.U.",Certificated,2026-04-20 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,monbake grupo empresarial sau sarriguren,SUP-02730
"Huaping Jingnan Food Co., Ltd",Lijiang City,China,,,Dried Fruits,Food,Intertek Certification Limited,Certificated,2026-05-03 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,huaping jingnan food co ltd,SUP-01962
BRANCH OF LONG AN FOOD PROCESSING EXPORT JOINT STOCK COMPANY – LAFOOCO FACTORY 1,Tay Ninh Province,Vietnam,,,Dried Fruits,Food,Intertek Certification Limited,Certificated,2026-04-17 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,branch of long an food processing export joint stock company  lafooco factory 1,SUP-00802
King Nut Company,"Solon, Ohio",USA,,,Dried Fruits,Food,FoodChain ID Certification L.C.,Certificated,2026-05-06 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,king nut company,SUP-02328
KIRICI DIŞ TİCARET A.Ş.,GERMENCIK-AYDIN,Turkey,,,Dried Fruits,Food,Kiwa Agri Food,Certificated,2026-05-06 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,kirici di ticaret a,SUP-02335
Valeo Foods - Batchelors,Dublin 7,Ireland,,,Dried Fruits,Food,FoodChain ID Certification Ltd,Certificated,2026-04-19 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,valeo foods  batchelors,SUP-04326
"Qingdao Wolong Food Co., Ltd.",Qingdao City,China,,,Dried Fruits,Food,SGS United Kingdom Ltd,Certificated,2026-04-22 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,qingdao wolong food co ltd,SUP-03364
Lomas and Garner Ltd,Hitchin,United Kingdom,,,Dried Fruits,Agents and Brokers,Amtivo (Formerly UK Food Certification Limited),Certificated,2026-04-13 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,lomas and garner ltd,SUP-02492
"Yantai Eversun Food Co., Ltd",Yantai City,China,,,Dried Fruits,Agents and Brokers,SGS United Kingdom Ltd,Certificated,2026-05-04 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,yantai eversun food co ltd,SUP-04574
MC CORMICK CARPENTRAS,CARPENTRAS,France,,,Dried Fruits,Food,SGS United Kingdom Ltd,Certificated,2026-05-04 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,mc cormick carpentras,SUP-02635
First Grade International Limited,Bromsgrove,United Kingdom,,,Dried Fruits,Agents and Brokers,Micron2 Ltd,Certificated,2026-04-13 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,first grade international limited,SUP-01459
DAN ON FOODS CORPORATION - MY PHUOC 3 BRANCH,Ho Chi Minh City,Vietnam,,,Dried Fruits,Food,Intertek Certification Limited,Certificated,2026-05-10 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,dan on foods corporation  my phuoc 3 branch,SUP-01125
Katsouris Brothers Limited,Wembley,United Kingdom,,,Dried Fruits,Food,SAI Global Certification Services Pty Ltd,Certificated,2026-07-05 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,katsouris brothers limited,SUP-02266
"SHANDONG ZHONGHE FRUIT AND VEGETABLE FOODSTUFFS CO., LTD.",Jinan City,China,,,Dried Fruits,Food,SGS United Kingdom Ltd,Certificated,2026-06-26 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,shandong zhonghe fruit and vegetable foodstuffs co ltd,SUP-03720
"Xinjiang Bio Grains Agricultural Development Co., Ltd.",Beitun City,China,,,Dried Fruits,Food,Intertek Certification Limited,Certificated,2026-05-02 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,xinjiang bio grains agricultural development co ltd,SUP-04551
"Maxwell Foods (Asia) Co., Ltd.",A. Pluakdaeng,Thailand,,,Dried Fruits,Food,BSI Assurance UK Ltd,Certificated,2026-04-08 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,maxwell foods asia co ltd,SUP-02629
"Qingdao Blue Gate Food Co., Ltd",Qingdao,China,,,Dried Fruits,Food,BSI Assurance UK Ltd,Certificated,2026-04-19 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,qingdao blue gate food co ltd,SUP-03340
"Lily Tobeka Co., Ltd","Chonburi,",Thailand,,,Dried Fruits,Food,LRQA Ltd - UK,Certificated,2026-04-02 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,lily tobeka co ltd,SUP-02459
Royal Steensma B.V. (location Vlaardingen),VLAARDINGEN,Netherlands,,,Dried Fruits,Food,SGS United Kingdom Ltd,Certificated,2026-04-17 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,royal steensma bv location vlaardingen,SUP-03512
VAMVALIS FOODS S.A.,Thessaloniki,Greece,,,Dried Fruits,Food,LRQA Ltd - UK,Certificated,2026-04-07 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,vamvalis foods sa,SUP-04330
Fábrica de Patatas la Santamaría S.L.,Valdemoro (Madrid),Spain,,,Dried Fruits,Food,RINA AGRIFOOD S.p.A.,Certificated,2026-03-25 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,fbrica de patatas la santamara sl,SUP-01439
CG Hacking and Sons Limited,London,United Kingdom,,,Dried Fruits,Agents and Brokers,FoodChain ID Certification Ltd,Certificated,2026-04-05 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,cg hacking and sons limited,SUP-00922
Origin & Amsterdam Trading BV,Amsterdam,Netherlands,,,Dried Fruits,Agents and Brokers,FoodChain ID Certification Ltd,Certificated,2026-03-06 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,origin  amsterdam trading bv,SUP-03082
Verhoef Packaging B.V.,Nijkerk,Netherlands,,,Dried Fruits,Food,DNV Business Assurance Italy S.r.l.,Certificated,2026-04-16 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,verhoef packaging bv,SUP-04368
CHRISTOS DIM. KARAGIANNIS SA “KSIROKARP”,Amfilochia,Greece,,,Dried Fruits,Food,Bureau Veritas Certification UK,Certificated,2026-03-26 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,christos dim karagiannis sa ksirokarp,SUP-00979
"Siam Oriental Food And Beverage Co., Ltd",Bangkok,Thailand,,,Dried Fruits,Food,BSI Assurance UK Ltd,Certificated,2026-03-26 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,siam oriental food and beverage co ltd,SUP-03803
LST-Polska Sp. z o. o.,Bełżyce,Poland,,,Dried Fruits,Food,CSQA Certificazioni SRL,Certificated,2026-03-24 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,lstpolska sp z o o,SUP-02517
Scalzo Food Industries Pty Ltd - Auckland site,"Auckland,",New Zealand,,,Dried Fruits,Food,AsureQuality,Certificated,2026-05-15 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,scalzo food industries pty ltd  auckland site,SUP-03625
"Smile Fruit Co., Ltd.",Rayong,Thailand,,,Dried Fruits,Food,SGS United Kingdom Ltd,Certificated,2026-06-29 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,smile fruit co ltd,SUP-03839
Khanal Foods Private Limited,Bengaluru,India,,,Dried Fruits,Food,ISOQAR Limited,Certificated,2026-04-25 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,khanal foods private limited,SUP-02305
Sleaford Quality Foods Limited - Sleaford,Sleaford,United Kingdom,,,Dried Fruits,Food,Eurofins Assurance UK Ltd.,Certificated,2026-04-08 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,sleaford quality foods limited  sleaford,SUP-03835
Stutz Packing Company,Indio,USA,,,Dried Fruits,Food,"Safe Food Certifications, LLC",Certificated,2026-03-28 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,stutz packing company,SUP-03970
Nomanbhoy & Sons Pte Ltd,Singapore,Singapore,,,Dried Fruits,Agents and Brokers,SGS United Kingdom Ltd,Certificated,2026-02-23 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,nomanbhoy  sons pte ltd,SUP-02987
"Traina Dried Fruit, Inc.",Patterson,USA,,,Dried Fruits,Food,Merieux NutriSciences Certification,Certificated,2026-04-08 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,traina dried fruit inc,SUP-04235
İzmir Organik Meyvecilik Tic. Ve San. Ltd. Şti.,Izmir,Turkey,,,Dried Fruits,Food,DQS CFS GmbH,Certificated,2026-03-17 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,izmir organik meyvecilik tic ve san ltd ti,SUP-02099
Evolution Foods International (PTY) LTD,Stellenbosch,South Africa,,,Dried Fruits,Agents and Brokers,"NSF Certification, LLC",Certificated,2026-03-14 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,evolution foods international pty ltd,SUP-01384
Kestrel Foods Ltd - Portadown,Portadown,United Kingdom,,,Dried Fruits,Food,Northern Ireland Food Chain Certification (NIFCC),Certificated,2026-06-22 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,kestrel foods ltd  portadown,SUP-02301
Procesadora Baika SpA - Planta Hijuelas,Hijuelas,Chile,,,Dried Fruits,Food,SGS United Kingdom Ltd,Certificated,2026-03-05 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,procesadora baika spa  planta hijuelas,SUP-03280
Maya Gold Trading B.V.,Amsterdam,Netherlands,,,Dried Fruits,Agents and Brokers,Eurofins Assurance UK Ltd.,Certificated,2026-03-08 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,maya gold trading bv,SUP-02630
"IMPORTACO FOOD SERVICE, S.L.",PICASSENT,Spain,,,Dried Fruits,Food,LRQA Ltd - UK,Certificated,2026-02-24 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,importaco food service sl,SUP-02011
Kuchenna Adrenalina Cezary Chromiński,Sławno,Poland,,,Dried Fruits,Storage and Distribution,TÜV SÜD Management Service GmbH,Certificated,2026-03-04 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,kuchenna adrenalina cezary chromiski,SUP-02383
Nar Baharat Gıda Ürünleri San. Tic. A.Ş,IZMIR,Turkey,,,Dried Fruits,Food,Kiwa Agri Food,Certificated,2026-02-24 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,nar baharat gda rnleri san tic a,SUP-02855
Orchard Valley Foods - Tenbury Wells,Tenbury Wells,United Kingdom,,,Dried Fruits,Agents and Brokers,Eurofins Assurance UK Ltd.,Certificated,2026-02-25 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,orchard valley foods  tenbury wells,SUP-03065
Western Commodities Limited,Cullompton,United Kingdom,,,Dried Fruits,Food,Amtivo (Formerly UK Food Certification Limited),Certificated,2026-03-03 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,western commodities limited,SUP-04498
"Yixiang (Shandong) Health Food Co., LTD",Linyi,China,,,Dried Fruits,Food,Intertek Certification Limited,Certificated,2026-04-10 00:00:00,,2026_Dried_Fruits,2026,Active,,,,,,,,yixiang shandong health food co ltd,SUP-04591
