Date,Task,Company,Priority,Owner,Status,Deadline,Notes
7/30/2025,Follow up for Spectacle new peanut samples,EEC,Urgent,Vandana,In progress,8/1/2025,message sent 31.7.25
7/30/2025,Follow ujp with JD Exports (Jeetu) for new inquiry,EEC,Urgent,Vandana,In progress,8/1/2025,9th july he updated that he will let us know if any inquiry
7/30/2025,Follow up with Johannes for Pakistani supplier updates,EEC,Urgent,Vandana,In progress,8/1/2025,will send reminder next week
7/30/2025,Follow up with Marco for order confirmation,EEC,Urgent,Vandana,In progress,8/1/2025,communication ongoing with buyer
7/30/2025,Follow up with Freesoul for new requirement,EEC,Urgent,Vandana,In progress,8/1/2025,"30th july, Zoe responded that no requirement"
7/30/2025,Supplier sourcing - Fresh fruits & vegs -- sourced total 16,EEC,Urgent,Vandana,Completed,7/30/2025,completed
7/30/2025,Supplier sourcing -Textiles,EEC,Urgent,Vandana,In progress,8/1/2025,pending was working on fresh fruits and vegs and sports wear
7/30/2025,Supplier sourcing- Dried fruits,EEC,Urgent,Vandana,In progress,8/1/2025,pending was working on fresh fruits and vegs and sports wear
7/30/2025,Supplier sourcing-Nuts,EEC,Urgent,Vandana,In progress,8/1/2025,pending was working on fresh fruits and vegs and sports wear
7/30/2025,Supplier sourcing -Seafood,EEC,Urgent,Vandana,In progress,8/1/2025,pending was working on fresh fruits and vegs and sports wear
7/30/2025,Supplier sourcing-Rice,EEC,Urgent,Vandana,In progress,8/1/2025,pending was working on fresh fruits and vegs and sports wear
7/30/2025,Supplier sourcing - Grains & Pulses,EEC,Urgent,Vandana,In progress,8/1/2025,pending was working on fresh fruits and vegs and sports wear
7/30/2025,Supplier sourcing - Juices,EEC,Urgent,Vandana,In progress,8/1/2025,pending was working on fresh fruits and vegs and sports wear
7/30/2025,Supplier sourcing- Instant Noodles,EEC,Urgent,Vandana,In progress,8/1/2025,pending was working on fresh fruits and vegs and sports wear
7/30/2025,Supplier sourcing - Biscuits,EEC,Urgent,Vandana,In progress,8/1/2025,pending was working on fresh fruits and vegs and sports wear
7/30/2025,Supplier sourcing - Sports wear,EEC,Urgent,Vandana,Completed,7/31/2025,completed
7/30/2025,Introduction emails - Fresh fruits & vegs -- Total 16,EEC,Urgent,Vandana,Completed,7/30/2025,completed
7/30/2025,Introduction emails -Textiles,EEC,Urgent,Vandana,In progress,8/1/2025,pending was working on fresh fruits and vegs and sports wear
7/30/2025,Introduction emails- Dried fruits,EEC,Urgent,Vandana,In progress,8/1/2025,pending was working on fresh fruits and vegs and sports wear
7/30/2025,Introduction emails-Nuts,EEC,Urgent,Vandana,In progress,8/1/2025,pending was working on fresh fruits and vegs and sports wear
7/30/2025,Introduction emails -Seafood,EEC,Urgent,Vandana,In progress,8/1/2025,pending was working on fresh fruits and vegs and sports wear
7/30/2025,Introduction emails -Rice,EEC,Urgent,Vandana,In progress,8/1/2025,pending was working on fresh fruits and vegs and sports wear
7/30/2025,Introduction emails - Grains & Pulses,EEC,Urgent,Vandana,In progress,8/1/2025,pending was working on fresh fruits and vegs and sports wear
7/30/2025,Introduction emails - Juices,EEC,Urgent,Vandana,In progress,8/1/2025,pending was working on fresh fruits and vegs and sports wear
7/30/2025,Introduction emails- Instant Noodles,EEC,Urgent,Vandana,In progress,8/1/2025,pending was working on fresh fruits and vegs and sports wear
7/30/2025,Introduction emails - Biscuits,EEC,Urgent,Vandana,In progress,8/1/2025,pending was working on fresh fruits and vegs and sports wear
7/30/2025,Introduction emails - Sports wear,EEC,Urgent,Vandana,Completed,7/31/2025,completed
7/31/2025,,,,,,,
7/31/2025,Email to LIna for VInarice CEO information,EEC,Urgent,Vandana,Completed,7/31/2025,
7/31/2025,Corodination with LIna for Instant noodle updates,EEC,Urgent,Vandana,Completed,7/31/2025,
7/31/2025,"Shubham today's update, updated in the supplier and buyer sheet",EEC,Urgent,Vandana,Completed,7/31/2025,
7/31/2025,"Marco today's update, updated in the supplier and buyer sheet",EEC,Urgent,Vandana,Completed,7/31/2025,
7/31/2025,"Nature Pearl today;s update, updated in the supplier & Buyer sheet",EEC,Urgent,Vandana,Completed,7/31/2025,
7/31/2025,"Veena Rice today's update, updated in the supplier & Buyer sheet",EEC,Urgent,Vandana,Completed,7/31/2025,
7/31/2025,Drive work - Update Buyer listing,EEC,Urgent,Vandana,Completed,7/31/2025,
7/31/2025,Drive work - Update Product listing,EEC,Urgent,Vandana,Completed,7/31/2025,
7/31/2025,Follow up email to Farmica,EEC,Urgent,Vandana,Completed,7/31/2025,
7/31/2025,Follow up with Kemet,EEC,Urgent,Vandana,Completed,7/31/2025,
7/31/2025,Vinarice information updated in the checklsit,EEC,Urgent,Vandana,Completed,7/31/2025,
7/31/2025,Nature Pearl signed contract saved in drive,EEC,Urgent,Vandana,Completed,7/31/2025,
7/31/2025,coordination with SAMA Agro for fair visit,EEC,Urgent,Vandana,Completed,7/31/2025,
7/31/2025,"Email reply to Sinomie, instant noodle",EEC,Urgent,Vandana,Completed,7/31/2025,
7/31/2025,Follow up message sent to Chetan (Spectacle food),EEC,Urgent,Vandana,Completed,7/31/2025,
7/31/2025,Follow up email to Jo Jose Foods,EEC,Urgent,Vandana,Completed,7/31/2025,
7/31/2025,Update Email tracking sheet,EEC,Urgent,Vandana,Completed,7/31/2025,
7/31/2025,Supplier sourcing - Sports wear -total 12,EEC,Urgent,Vandana,Completed,7/31/2025,
7/31/2025,Introduction emails - Sports wear -total 12,EEC,Urgent,Vandana,Completed,7/31/2025,
7/31/2025,add all shirali's Links,EEC,Urgent,Mohita Vadrevu,Completed,7/31/2025,
7/31/2025,Check Vinarice agreement,EEC,Urgent,Mohita Vadrevu,Completed,7/31/2025,
7/31/2025,Sports Merchandise Catalog,EEC,Urgent,Mohita Vadrevu,Completed,7/31/2025,
7/31/2025,send email to Anne for Singtel bills,EEC,Urgent,Mohita Vadrevu,Completed,7/31/2025,
7/31/2025,Check Harshit's Video,EEC,Urgent,Mohita Vadrevu,Completed,7/31/2025,
7/31/2025,Check Harshal's schedule,EEC,Urgent,Mohita Vadrevu,Completed,7/31/2025,
7/31/2025,send sports merch catalog to J and K,EEC,Urgent,Mohita Vadrevu,Completed,7/31/2025,
7/31/2025,send BEST details to Joshi ji,EEC,Urgent,Mohita Vadrevu,Completed,7/31/2025,
,,,,,,,
8/1/2025,Sales email checking,EEC,Urgent,Vandana,Completed,8/1/2025,
8/1/2025,Update Peanut prices in drive,EEC,Urgent,Vandana,Completed,8/1/2025,
8/1/2025,"Marco latest update, to update in supplier & buyer sheet",EEC,Urgent,Vandana,Completed,8/1/2025,
8/1/2025,"Shubham latest update, to update in supplier & buyer sheet",EEC,Urgent,Vandana,Completed,8/1/2025,
8/1/2025,"Aareena latest update, to update in supplier & buyer sheet",EEC,Urgent,Vandana,Completed,8/1/2025,
8/1/2025,Vina rice price update in drive,EEC,Urgent,Vandana,Completed,8/1/2025,
8/1/2025,Coordination with Lina for product catalogue,EEC,Urgent,Vandana,In progress,8/1/2025,she will send by Sunday
8/1/2025,"coordination with Sinomie food, Instant noodles",EEC,Urgent,Vandana,In progress,8/1/2025,discussion ongoing
8/1/2025,Supplier sourcing- Instant Noodles --Total 12,EEC,Urgent,Vandana,Completed,8/1/2025,
8/1/2025,Introduction emails- Instant Noodles-Total 12,EEC,Urgent,Vandana,Completed,8/1/2025,
8/1/2025,Check singtels emails on shirali@elanexports.com,EEC,Urgent,Mohita Vadrevu,Completed,8/1/2025,
8/1/2025,Send email reply to Anne for Singtel bills,EEC,Urgent,Mohita Vadrevu,Completed,8/1/2025,
8/1/2025,Email sent to Request Jaanik for updated Business Profile,EEC,Urgent,Mohita Vadrevu,Completed,8/1/2025,
8/1/2025,Speak to Madan about Email Automation,EEC,Urgent,Mohita Vadrevu,Completed,8/1/2025,
8/1/2025,Speak to Madan Google Drive Storage Map,EEC,Urgent,Mohita Vadrevu,Completed,8/1/2025,
8/1/2025,Speak to Madan File attachments automated saving,EEC,Urgent,Mohita Vadrevu,Completed,8/1/2025,
8/1/2025,Speak to Madan Supplier Checklist vetting,EEC,Urgent,Mohita Vadrevu,Completed,8/1/2025,
8/1/2025,TDS details to be sent to Joshi ji,Fresh Food Company,Urgent,Mohita Vadrevu,Completed,8/1/2025,
8/1/2025,"Reminder email sent to Kevin for Companies with signed addendums of Norma, M&S and ASDA",EEC,Urgent,Mohita Vadrevu,Completed,8/1/2025,
8/1/2025,Weekly Report,EEC,Urgent,Mohita Vadrevu,Completed,8/1/2025,
8/4/2025,Attendance to be sent to Shirali,EEC,Urgent,Mohita Vadrevu,Completed,8/4/2025,
8/4/2025,Vinarice catalog to be sent to J,EEC,Urgent,Mohita Vadrevu,Completed,8/4/2025,
8/4/2025,Check email automation,EEC,Urgent,Mohita Vadrevu,Completed,8/4/2025,
8/4/2025,Analyze links that have been updated with relevant product category,EEC,Urgent,Mohita Vadrevu,Completed,8/4/2025,
8/4/2025,Fireflies glitch sort,EEC,Urgent,Mohita Vadrevu,Completed,,
8/4/2025,Check all templates created by Vandana,EEC,Urgent,Mohita Vadrevu,Completed,,
8/4/2025,Task tracker email sheet update,EEC,Urgent,Vandana,Completed,8/4/2025,
8/4/2025,Template making of introduction emails - Jasmine rice,EEC,Urgent,Vandana,Completed,8/4/2025,
8/4/2025,Template making of introduction emails - basmati rice,EEC,Urgent,Vandana,Completed,8/4/2025,
8/4/2025,Template making of introduction emails - Cashew nuts,EEC,Urgent,Vandana,Completed,8/4/2025,
8/4/2025,Template making of introduction emails - Macadamia nuts,EEC,Urgent,Vandana,Completed,8/4/2025,
8/4/2025,Template making of introduction emails - Dried fruits,EEC,Urgent,Vandana,Completed,8/4/2025,
8/4/2025,Template making of introduction emails - Biscuits,EEC,Urgent,Vandana,Completed,8/4/2025,
8/4/2025,Template making of introduction emails - Sports wear,EEC,Urgent,Vandana,Completed,8/4/2025,
8/4/2025,Template making of introduction emails - Home textiles,EEC,Urgent,Vandana,Completed,8/4/2025,
8/4/2025,Template making of introduction emails - Apparels,EEC,Urgent,Vandana,Completed,8/4/2025,
8/4/2025,Template making of introduction emails - fresh fruits and vegs,EEC,Urgent,Vandana,Completed,8/4/2025,
8/4/2025,Template making of introduction emails - frozen shrimps,EEC,Urgent,Vandana,Completed,8/4/2025,
8/4/2025,Template making of introduction emails - Orange Juice Concentrate and Orange Juice NFC,EEC,Urgent,Vandana,Completed,8/4/2025,
8/4/2025,Template making of introduction emails - Peanut Butter,EEC,Urgent,Vandana,Completed,8/4/2025,
8/4/2025,Template making of introduction emails - Instant Noodles,EEC,Urgent,Vandana,Completed,8/4/2025,
8/4/2025,Supplier data update in the drive,EEC,Urgent,Vandana,Completed,8/4/2025,
8/4/2025,Coordination with Shubham food,EEC,Urgent,Vandana,Completed,8/4/2025,
8/4/2025,Checked Veera pricelist,EEC,Urgent,Vandana,Completed,8/4/2025,
8/4/2025,Checking sales inbox email,EEC,Urgent,Vandana,Completed,8/4/2025,
8/4/2025,Veera 3rd quote excel saved on drive,EEC,Urgent,Vandana,Completed,8/4/2025,
8/4/2025,Aarneea low budget price sheet saved on drive,EEC,Urgent,Vandana,Completed,8/4/2025,
8/4/2025,Updated Vinrice supplier information in the Database for signed contract suppliers,EEC,Urgent,Vandana,Completed,8/4/2025,
8/4/2025,"Ahmed mill latest update, updated in the supplier & buyer sheet",EEC,Urgent,Vandana,Completed,8/4/2025,
8/4/2025,Veera home tex lated update updated in the supplier & buyer sheet,EEC,Urgent,Vandana,Completed,8/4/2025,
8/4/2025,Aarneea latest update updated in the supplier & buyre sheet,EEC,Urgent,Vandana,Completed,8/4/2025,
8/4/2025,Shubham latest update updated in the supplier and buyer sheet,EEC,Urgent,Vandana,Completed,8/4/2025,
8/4/2025,"Vinox latest update, updated in the supplier & buyer sheet",EEC,Urgent,Vandana,Completed,8/4/2025,
8/4/2025,Sinomie latest update updated in the supplier & buyer sheet,EEC,Urgent,Vandana,Completed,8/4/2025,
8/4/2025,Coordination with Lina for Vifon supplier checklist,EEC,Urgent,Vandana,Completed,8/4/2025,
8/4/2025,Sourced new suppliers for Fresh fruits and veggies and updated supplier information in the commodity supplier list -- total 10,EEC,Urgent,Vandana,Completed,8/4/2025,
8/4/2025,Sourced new suppliers for Jasmine Rice and updated supplier information in the commodity supplier list -- total 3,EEC,Urgent,Vandana,Completed,8/4/2025,
8/4/2025,Sourced new suppliers for Dried fruits and updated supplier information in the commodity supplier list -- total 6,EEC,Urgent,Vandana,Completed,8/4/2025,
8/5/2025,Check email automation,EEC,Urgent,Mohita Vadrevu,Completed,8/5/2025,
8/5/2025,Call with Madan - Email Automation,EEC,Urgent,Mohita Vadrevu,Completed,8/5/2025,
8/5/2025,Call with Madan - Skin'd blogs,EEC,Urgent,Mohita Vadrevu,Completed,8/5/2025,
8/5/2025,Call with Madan - Dr. Ranade's Videos,EEC,Urgent,Mohita Vadrevu,Completed,8/5/2025,
8/5/2025,Call with Madan - Storylines for Video animation,EEC,Urgent,Mohita Vadrevu,Completed,8/5/2025,
8/5/2025,,,,,,,
8/5/2025,,,,,,,
8/5/2025,Shubham peanut butter prices updated in the drive,EEC,Urgent,Vandana,Completed,8/5/2025,
8/5/2025,"Call with Mohita, Madan",EEC,Urgent,Vandana,Completed,8/5/2025,
8/5/2025,Task tracker email sheet update,EEC,Urgent,Vandana,Completed,8/5/2025,
8/5/2025,Email reply to GRM,EEC,Urgent,Vandana,Completed,8/5/2025,
8/5/2025,Email reply to Anand Trader,EEC,Urgent,Vandana,Completed,8/5/2025,
8/5/2025,Follow up with Marco,EEC,Urgent,Vandana,Completed,8/5/2025,
8/5/2025,Follow up with Tom for signed contract,EEC,Urgent,Vandana,Completed,8/5/2025,
8/5/2025,"Shubham's latest update, updated in the supplier & buyer status sheet",EEC,Urgent,Vandana,Completed,8/5/2025,
8/5/2025,Call with Shubham,EEC,Urgent,Vandana,Completed,8/5/2025,
8/5/2025,Sourced new suppliers for Sports Wear and updated supplier information in the commodity supplier list -- total 8,EEC,Urgent,Vandana,Completed,8/5/2025,
8/5/2025,Sourced new suppliers for Biscuits and updated supplier information in the commodity supplier list -- total 5,EEC,Urgent,Vandana,Completed,8/5/2025,
8/6/2025,Email to akshay about the TDS details,EEC,Urgent,Mohita Vadrevu,Completed,8/6/2025,
8/6/2025,Vandana Salary Payment,EEC,Urgent,Mohita Vadrevu,Completed,8/6/2025,
8/6/2025,Mohita Salary Payment,EEC,Urgent,Mohita Vadrevu,Completed,8/6/2025,
8/6/2025,Madan Salary Payment,EEC,Urgent,Mohita Vadrevu,Completed,8/6/2025,
8/6/2025,"Check Skin'd Videos - not at all happy, feedback shared with Madan",EEC,Urgent,Mohita Vadrevu,Completed,8/6/2025,
8/6/2025,Setup Perplexity,EEC,Urgent,Mohita Vadrevu,Completed,8/6/2025,
8/6/2025,Task tracker email sheet update,EEC,Urgent,Vandana,Completed,8/6/2025,
8/6/2025,Sales email checking and reply,EEC,Urgent,Vandana,Completed,8/6/2025,
8/6/2025,Anand trader docs checking and saving on drive,EEC,Urgent,Vandana,Completed,8/6/2025,
8/6/2025,Anand trader Checklist making,EEC,Urgent,Vandana,Completed,8/6/2025,
8/6/2025,Update new supplier Anand Trader in the supplier and buyer status sheet,EEC,Urgent,Vandana,Completed,8/6/2025,
8/6/2025,"Marco, latest update, updated on supplier & buyer status sheet",EEC,Urgent,Vandana,Completed,8/6/2025,
8/6/2025,Email to Privam nut for catalogue request,EEC,Urgent,Vandana,Completed,8/6/2025,
8/6/2025,Follow up email to Hengxing Caps & Garments Co and updated on supplier & buyer sheet,EEC,Urgent,Vandana,Completed,8/6/2025,
8/6/2025,"Folow up email to Dongguan Uga Fashion Co.,Ltd and updated on supplier & buyer sheet",EEC,Urgent,Vandana,Completed,8/6/2025,
8/6/2025,Follow up email to JOJOSE and updated on supplier & buyer sheet,EEC,Urgent,Vandana,Completed,8/6/2025,
8/6/2025,"Kyneton Biscuit Group, latest update, updated on supplier & buyer status sheet",EEC,Urgent,Vandana,Completed,8/6/2025,
8/6/2025,privamnut company profile saved in drive,EEC,Urgent,Vandana,Completed,8/6/2025,
8/6/2025,"coordination with Puning Junbu Yinshangshi Garment Processing Factory, sports wear company on whatsapp",EEC,Urgent,Vandana,Completed,8/6/2025,
8/6/2025,Sourced new suppliers for home textile and updated supplier information in the commodity supplier list -- total 4,EEC,Urgent,Vandana,Completed,8/6/2025,
8/6/2025,Sourced new suppliers for apparels and updated supplier information in the commodity supplier list -- total 10,EEC,Urgent,Vandana,Completed,8/6/2025,
8/7/2025,Make blog posts for Skin'd,EEC,Urgent,Mohita Vadrevu,Completed,8/6/2025,
8/7/2025,Make EEC one page brochure for buyers,EEC,Urgent,Mohita Vadrevu,Completed,8/6/2025,
8/7/2025,Make marketing plan for Linkedin for EEC for Buyers,EEC,Urgent,Mohita Vadrevu,Completed,8/6/2025,
,,,,,,,
,,,,,,,
8/7/2025,Task tracker email sheet update,EEC,Urgent,Vandana,Completed,8/7/2025,
8/7/2025,"Rocket Fuel, latest update, updated on the supplier & buyer status sheet",EEC,Urgent,Vandana,Completed,8/7/2025,
8/7/2025,Sourced new suppliers for apparels and updated supplier information in the commodity supplier list -- total 14,EEC,Urgent,Vandana,Completed,8/7/2025,
8/8/2025,Make EEC Catalog for Vina Rice,EEC,Urgent,Mohita Vadrevu,Completed,8/8/2025,
8/8/2025,Send akshay's email to CA to check TDS,Fresh Food Company,Urgent,Mohita Vadrevu,Completed,8/8/2025,
8/8/2025,ask Chatgpt the one pager pdf feedback and refine it,EEC,Urgent,Mohita Vadrevu,Completed,8/8/2025,
8/8/2025,Weekly Report,EEC,Urgent,Mohita Vadrevu,Completed,8/8/2025,
,,,,,,,
8/8/2025,Task tracker email sheet update,EEC,Medium,Vandana,Completed,8/8/2025,
8/8/2025,Rice prices update in drive fro Ake Rice,EEC,Medium,Vandana,In progress,8/8/2025,
8/8/2025,Update information from Anand trader in drive,EEC,Medium,Vandana,In progress,8/8/2025,
8/8/2025,Update supplier & buyer sheet for weekly report,EEC,Urgent,Vandana,Completed,8/8/2025,
8/8/2025,coordination with Lina for Vifon information,EEC,Medium,Vandana,In progress,8/8/2025,
8/8/2025,Sourced new suppliers for apparels and updated supplier information in the commodity supplier list -- total 18,EEC,Urgent,Vandana,Completed,8/8/2025,
8/8/2025,Sourced new suppliers for jasmine rice and updated supplier information in the commodity supplier list -- total 11,EEC,Urgent,Vandana,Completed,8/8/2025,
8/11/2025,Contract for Anand Traders & Selvan Tex,EEC,Urgent,Mohita Vadrevu,Completed,,
8/11/2025,send catalogues to J,EEC,Urgent,Mohita Vadrevu,Completed,,
8/11/2025,EEC Model Discussions Call 12 pm tp 1 pm,EEC,Urgent,Mohita Vadrevu,Completed,,
8/11/2025,Instant Noodles Supplier Discussions 2 Pm - 3:30 pm,EEC,Urgent,Mohita Vadrevu,Completed,,
8/11/2025,Task tracker email sheet update,EEC,High,Vandana,Completed,8/11/2025,
8/11/2025,coordination with Lina for Vifon information,EEC,Urgent,Vandana,Completed,8/11/2025,
8/11/2025,coordination with Shubham,EEC,Urgent,Vandana,Completed,8/11/2025,
8/11/2025,coordination with HBM,EEC,Urgent,Vandana,Completed,8/11/2025,
8/11/2025,"Update Ahmed fine mill, latest update in the supplier & buyer sheet",EEC,Urgent,Vandana,Completed,8/11/2025,
8/11/2025,Update information from Anand trader in drive,EEC,Urgent,Vandana,Completed,8/11/2025,
8/11/2025,contract sent to Anand trader,EEC,Urgent,Vandana,Completed,8/11/2025,
8/11/2025,Tom contract saved in drive,EEC,Urgent,Vandana,Completed,8/11/2025,
8/11/2025,Updated supplier and buyer sheet,EEC,Urgent,Vandana,Completed,8/11/2025,
8/11/2025,Team Meeting,EEC,Urgent,Vandana,Completed,8/11/2025,
8/11/2025,Sourced new suppliers for apparels and updated supplier information in the commodity supplier list -- total 6,EEC,Urgent,Vandana,Completed,8/11/2025,
8/11/2025,Sourced new suppliers for home tex and updated supplier information in the commodity supplier list -- total 5,EEC,Urgent,Vandana,Completed,8/11/2025,
8/11/2025,Sourced new suppliers for Instant noodle and updated supplier information in the commodity supplier list -- total 5,EEC,Urgent,Vandana,Completed,8/11/2025,
8/12/2025,Draft for stefan,EEC,Urgent,Mohita Vadrevu,In progress,,
8/12/2025,Talk to rahul about tds,Fresh Food Company,Urgent,Mohita Vadrevu,Completed,,
8/12/2025,send email to aksay abt tds,Fresh Food Company,Urgent,Mohita Vadrevu,Completed,,
8/12/2025,reminder to j about vinarice,EEC,Urgent,Mohita Vadrevu,Completed,,
8/12/2025,Instant Noodle supplier sourced - 5,EEC,Urgent,Mohita Vadrevu,Completed,,
8/12/2025,Worked on Kevins list of Instant noodle suppliers,EEC,Urgent,Mohita Vadrevu,Completed,,
8/12/2025,Task tracker email sheet update,EEC,Urgent,Vandana,Completed,8/12/2025,
8/12/2025,Checking Vifon checklist,EEC,Urgent,Vandana,Completed,8/12/2025,
8/12/2025,coordination with Lina for Vifon information,EEC,Urgent,Vandana,Completed,8/12/2025,
8/12/2025,commission agreement sent to Anand trader,EEC,Urgent,Vandana,Completed,8/12/2025,
8/12/2025,Vifon checklist saved in drive,EEC,Urgent,Vandana,Completed,8/12/2025,
8/12/2025,"YangZhangGui Food Technology (Henan) Co., Ltd.- docs saved in drive",EEC,Urgent,Vandana,Completed,8/12/2025,
8/12/2025,"Checklist -YangZhangGui Food Technology (Henan) Co., Ltd.",EEC,Urgent,Vandana,Completed,8/12/2025,
8/12/2025,email draft for Mr Ghanshyam,EEC,Urgent,Vandana,Completed,8/12/2025,
8/12/2025,Checking the instant noodle supplier website sent by ma'am on whatsapp group and updated supplier infos in the sheet and calling them,EEC,Urgent,Vandana,Completed,8/12/2025,
8/12/2025,Vifon catalogue saved in drive,EEC,Urgent,Vandana,Completed,8/12/2025,
8/12/2025,coordination with Carrie on whatsapp for instant noodles,EEC,Urgent,Vandana,Completed,8/12/2025,
8/12/2025,Checking Noodle pack weight in drive,EEC,Urgent,Vandana,Completed,8/12/2025,
8/12/2025,coordination wtih Sunrise for BRC,EEC,Urgent,Vandana,Completed,8/12/2025,
8/12/2025,Sourced new suppliers for Instant noodle and updated supplier information in the commodity supplier list -- total 6,EEC,Urgent,Vandana,Completed,8/12/2025,
8/13/2025,Skind Team meeting 10:00 - 10:30,EEC,Urgent,Mohita Vadrevu,Completed,,
