"RAW CONSOLIDATED BACKUP  |  5,864 RECORDS  |  All source data preserved",,,,,,,,
Company Name,City,Country,Email,Website,Product Category,Certifications,Full Address,Products
AATISH INDUSTRIES,,India,,"Senna Products, Sesame Seeds and Whole Spices",Pulses,,,Food
AB Bodén & Lindeberg/Sellton Försäljning AB,Kungsängen,Sweden,,,Dried Fruits,Food,,
AB Sugar,,,,https://absugars.com/,Sugar,,,
Abad Fisheries,,,info@abad.in,https://abadfisheries.com/,Shrimps,,,
Abad Overseas Private Limited,,,supershrimp@abad.in,https://abadsupershrimp.com/,Shrimps,,,
"Abad Overseas Private Limited ASC-C-02948 0 ""Whiteleg shrimp",,,,,ASC Shrimp,,,
Abad Overseas Pvt Ltd,,India,supershrimp@abad.in,https://abadsupershrimp.com/,Shrimps,,,freshly frozen Seafood
ABALIOĞLU YAĞ SANAYİ VE TİCARET A.Ş.,,,,https://www.abaliogluyag.com/,Juergan List,,,Sonnenblumenöl
ABC Fruits,,India,info@abcfruits.com,https://abcfruits.com/,Orange Juice  & Concentrate,,,Organe Concentrated
"ABC President Indonesia, PT",,,,www.abcpresident.com,List of Exhibitors for Indonesi,,,Processed Food
ABEES NATURAL FOOD PRODUCTS,,713,no website,no website,Pulses,,,PULSES
Abhiarnav,,India,abhiarnav75@gmail.com,abhiarnavfood.com,Anuga - India,,,Seasonings and Spices
Abhitex International,,India,,,Household Textiles,,"Plot #3,4,47 & 48, Sector 29, HUDA Part 1, Panipat, INDIA",
ABL Nuts ApS,Kruså,Denmark,,,Dried Fruits,Food,,
ABS Home Vietnam Company Limited,,Vietnam,,,Household Textiles,,"Land plot No. 41, map sheet No.26, Phu Tan Hamlet, Chau Hoa, Giong Trom District Bến Tre VIET NAM",
Abunda S.A,,Paraguay,https://abunda-sa.com/,"sales@abunda-sa.com,TPfeiffer@abunda-us.com",Chia Seeds NOv 24,,,
ACA miniatur (Mitra Binaan Dinas Perindustrian dan Perdagangan Provinsi Jawa Timur,,,,https://disperindag.jatimprov.go.id/,List of Exhibitors for Indonesi,,,Handicraft Products
ACB (Nouvelle Aquaculture de Crevettes de Besalampy),,Madagascar,,website not available,Shrimps,,,
ACBON INTERNATIONAL LLP,,713,no website,no website,Pulses,,,"KIDNEY BEANS, CHICKPEAS"
ACCELERATED FREEZE DRYING COMPANY LIMITED (UNIT 2),,India,afdcsales@amalgamfoods.in,https://amalgamfoods.com/afdc/,Shrimps,,,frozen seafood
Accelerated Freeze Drying Company Limited (Unit-2),,India,,Repeat of row 61 & 62,Frozen Shrimps,,,Shrimp
"Accelerated Freeze Drying Company Limited (Unit-2) ASC-C-43696 0 Whiteleg shrimp Litopenaeus vannamei Accelerated Freeze Drying Company Limited (Unit-2) 04-03-2027 00:00 Certified ""14/418",,,,,ASC Shrimp,,,
Accelerated Freeze Drying Company Ltd,,India,amalgam@amalgamfoods.in,https://amalgamfoods.com/afdc/contact.php,Frozen Shrimps,,,Shrimp
"Accelerated Freeze Drying Company Ltd ASC-C-02418 0 ""Striped catfish",,,,,ASC Shrimp,,,
Accelerated Freeze Drying Company Ltd.,,India,afdcsales@amalgamfoods.in,https://amalgamfoods.com/afdc/,Shrimps,,,frozen seafood
ACCURA ENTERPRISES PVT LTD,,India,,no website,Pulses,,,Food
ACECOOK,,,thaobtl.hcm@acecookvietnam.vn,https://acecookvietnam.vn/,READY TO EAT NOODLES,,NO ADDRESS,
Acecook Viet Nam JSC - Bac Ninh Branch- Factory 2,,Vietnam,info@acecookvietnam.com,https://acecookvietnam.vn/en/,Rice list,,,"Instant Noodles, Rice Vermicelli"
ACECOOK VIETNAM JOINT STOCK COMPANY - VINH LONG BRANCH,,Vietnam,info@acecookvietnam.com,https://acecookvietnam.vn/en/,Rice list,,,"Instant Noodles, Rice Vermicelli"
ACECOOK VIETNAM JSC – BINH DUONG BRANCH,,Vietnam,info@acecookvietnam.com,https://acecookvietnam.vn/en/,Rice list,,,"Instant Noodles, Rice Vermicelli"
Acecook Vietnam JSC / HO CHI MINH FACTORY,,Vietnam,,https://acecookvietnam.vn/,Instant Noodles,,,
Achal Cashew Private Limited,,,,,Cashew supplier for Middle Eas,,,
Achal Industries,,,,,Cashew supplier for Middle Eas,,,
ACI Agrolink Limited,,Bangladesh,not available,https://www.aciagribusinesses.com/index.php,Shrimps,,,"Fertilizer, Seed"
ACME CHILE SPA,,Chile,,,Chile from BRC,,,
ACME COMMODITIES PRIVATE LIMITED,,,,,Cashew supplier for Middle Eas,,,
Aconcagua Foods S.A.,,Chile,,,Chile from BRC,,,
"Acroyali Jade Food Co., Ltd.",,China,food@acroyali.com,https://www.acroyali.com/home,Chick Peas,,,"Canned Fruits, Canned Vegetables, 
Jams, Pie Fillings & Toppings"
ACSA International SPA / Chilefood Agrocomm SPA,,Chile,,https://www.chilefood.com/wp/espanol-2/,Nuts List,,,
Actiflex Ltd,,Kenya,,,Macadamia Nut jan 25,,,
ADAM EXPORT,,Sri Lanka,dc@adamexpo.net,https://adamexpo.net/,WHOLE PEPPER,,"No. 370, Sedawatta Road, Wellampitiya, Sri Lanka.",
"Adams & Brooks, Inc. - San Bernardino",,USA,info@adams-brooks.com,https://adams-brooks.com/,Nuts List,,,Candy
Adams Group,,,info@adamsgrp.com,https://www.adamsgrp.com/,WHITE CORN MAIZE,,"7301 John Galt Way,Arbuckle, CA 95912",
Adani Wilmar Limited,,India,info@adaniwilmar.in,www.adaniwilmar.com,Rice list,,,"Edible Oil, Speciality Fats, Basmati Rice,Soya Chunks,Pulses,Wheat Flour, Sugar"
Adarsh Global Private Limited,,India,,https://adarshglobal.in/,Pulses,,,Food
ADARSH GLOBAL PVT LTD,,713,no website,no website,Pulses,,,PROCESSED PULSES
Adarsh Industrial Chemicals,,,,,Cashew supplier for Middle Eas,,,
ADASCAN,,,sales@adascan.ca,,Pulses,,,
AdasCan Grain,,,sales@adascan.ca,www.adascan.ca,Pulses,,,
Adascan Grain Company,,Canada,sales@adascan.ca,http://www.adascan.ca/,Red lentils Nov24,,,
"ADDA MITRA GLOBAL, PT",,,,adda-global.co.id,List of Exhibitors for Indonesi,,,Logistics
ADECO AGROPECUARIA S. A.,,Argentina,,,Peanuts Jan 24,,,
Adecoagro,,Argentina,info_ar@adecoagro.com,https://www.adecoagro.com/,Gulf food _ Pulses,,,"Pulses (Bakery Sunflower
XL Inshell Sunflower
XXL Inshell Sunflower
Split Blanched Peanuts - B
Split Blanched Peanut - A
Whole Blanched Peanut 50/60
Whole Blanched Peanut 40/50
Whole Blanched Peanut 38/42
Split Raw Peanut - B
Split Raw Peanut - A
Whole Kernel Peanut 50/60
Whole Kernel Peanut 40/50
Whole Kernel Peanut 38/42
Chickpeas
Chia Seeds
PopCorn
Inshell Sunflower
Sesame)"
ADF Foods Limited,,India,,pickle and curry powder,Pulses,,,Food
ADF Foods Ltd.,,India,,https://adf-foods.com/,Pulses,,,Food
Adidev Group Industries,,,info@adidevgroup.com,https://www.adidevgroup.com/,Pulses,,,
"Adikarya, CV (Mitra Binaan Dinas Perindustrian dan Perdagangan Provinsi Jawa Timur)",,,,Not found,List of Exhibitors for Indonesi,,,Trend and Lifestyle Products
"Adimulia Sarimas Indonesia, PT",,,,https://adimulia.com/,List of Exhibitors for Indonesi,,,Manufactured Product
Adinath Agro,,India,info@adinathagro.com,www.adinathagro.com,Anuga - India,,,Sauces and Seasonings
ADIPATI ARICULTRAL PRODUCT TRADING LTD,,,info@adipatiagri.com,https://www.adipatiagri.com/,RICE,,,
Adisty Batik (Mitra Binaan Dinas Koperasi Usaha Mikro Perindustrian dan Perdagangan Semarang),,,,Not found,List of Exhibitors for Indonesi,,,Batik
Aditivos e Ingredientes para alimentos Adiplus SPA,,Chile,,,Chile from BRC,,,
ADITYA AGRI EXPORTS,,713,fruits andn vegetable,https://aditya-exports.com/,Pulses,,,PULSES
Aditya Birla Fashion and Retail Limited,,India,customerservice@abfrl.adityabirla.com,https://www.adityabirla.com/businesses/companies/aditya-birla-fashion-and-retail-limited,Textile,,"Piramal Agastya Corporate Park,
Building 'A', 4th and 5th Floor,
Unit No. 401, 403, 501, 502,
L.B.S. Road, Kurla, Mumbai 400 070",branded apparel and accessories
ADM Agri-Industries Company,,Canada,meiyun.li@adm.com,https://www.adm.com/,Red lentils Nov24,,,
ADPAK INTERNATIONAL LIMITED,,Kenya,,,Macadamia Nut jan 25,,,
Adrianna Spring Impex,,Tamil Nadu,contact@adriannasprings.com,https://adriannasprings.com/,WHOLE PEPPER,,Tamil Nadu,
ADROIT OVERSEAS,,Canada,canada@adroitoverseas.com,https://adroitoverseas.com/,Red lentils Nov24,,,
Adroit Overseas Enterprises Ltd.,,Canada,yogesh@adroitoverseas.com,https://adroitoverseas.com/,Red lentils Nov24,,,
aduanar,,,despachante@aduanar.com,https://www.aduanar.com/en/,WHITE CORN MAIZE,,"MT Alvear 211, Floor 1, Córdoba, Argentina.",
Advance Packaging Manufacturers Ltd,,Kenya,,,Macadamia Nut jan 25,,,
Aegean Exporters' Associations,,Türkiye,,,Red lentils Nov24,,,
Aegean Foods,,Turkey,E: info@aegeanfoods.com.tr,http://aegeanfoods.com.tr/,Dried Fruits & Nuts,,"Akdeniz Mahallesi 1340 Sokak No 23/201 Arslan Plaza

35210 Konak İzmir – Turkey","Dried Figs

Dried Apricots"
AELEA COMMODITIES PRIVATE LIMITED,,713,trader,https://www.aeleacommodities.com/,Pulses,,,PULSES
"AFAMEC GLOBAL EKSPOR, PT (Mitra Binaan Dinas Perdagangan Provinsi Sumatera Selatan)",,,,afameccoco.com,List of Exhibitors for Indonesi,,,Manufactured Product
AFCOTT CASHEW SARLU,,Cote D'Ivoire,"gmrcn-prod@afcott.com,
quality.cashew@afcott.com",,Cashew Nov 24,,,
Afew Goods,,Germany,service@afew-goods.com,https://afew-goods.com/about/,Textile,,"Afew Goods GmbH
Oststr 36
40211 Düsseldorf
Germany",tshirts
AFGO International Pvt. Limited,,Sri Lanka,internationalafgo@gmail.com,http://www.afgoorganic.com/,WHOLE PEPPER,,"136,Thalahena,Malabe,Sri Lanka",
AFOKANTAN BENIN CASHEW SA,,,,,Cashew 25,,,
AFOTECH,,China,export@afotech.vn,https://afotech.vn/,Instant Noodles,,,
Afras Cashew Traders,,,,,Cashew supplier for Middle Eas,,,
AFRGO,,,stenli@afrgo.eu,https://www.afrgo.eu/,CASHEW,,"Silversquare, Ikaroslaan 1, 1930 Zaventem Belgium",Cashew
Afri Venture,,South Africa,,,"Cashew, Jebel Ali",,,Cashew
AFRIMAC,,Kenya,info@afrimac.co.ke,https://afrimac.co.ke/,Dried Fruits & Nuts,,,Macadanua nuts
Afrimac Nut,,Kenya,Email: info@afrimac.co.ke,https://afrimac.co.ke/,BRC Macadamia,Brc Certifications,,Macadamia Nuts
AFRIMAC NUT COMPANY LIMITED,,Kenya,murugi@afrimac.co.ke,https://afrimac.co.ke/,Macadamia Nut jan 25,,,
Afroze Textile Industries (Towel Unit),,Pakistan,,,Household Textiles,,"Plot C-8, Scheme-33, S.I.T.E, Superhighway, Karachi, PAKISTAN",
AFS Company Spa,,Chile,,,Chile from BRC,,,
AG Servicios SPA – Planta Mostazal,,Chile,,,Chile from BRC,,,
AG Servicios SPA. - Planta Molina,,Chile,,,Chile from BRC,,,
AG. Los Batros SPA,,Chile,,,Chile from BRC,,,
Agaoglu Tekstil San. ve Tic. A.S.,,Turkey,info@otelagaoglu.com,https://www.agaoglu.com/,Hospital  Textiles,,,Hotel
Agapi I.K.E. (Sokolata),,Greece,info@sokolata-clothing.com,LINK,Snacks and Sweets Expo in Dubai,,,Chocolate
"Agarwood East Borneo, PT (Mitra Binaan Export Kaltimpreneurs)",,,,Not found,List of Exhibitors for Indonesi,,,Manufactured Product
AGD,,,gdeheza@agd.com / secretariatrading@agd.com,https://www.agd.com.ar/,WHITE CORN MAIZE,,Argentina,
AGGARWAR IMPEX,,,,http://www.aggarwalimpex.in/,DRIED CHICKPEAS,,"Plot 74, Sector 28, Vashi, Navi Mumbai, Maharashtra, India - 400703",
AGL KENYA LIMITED – UNILEVER,,Kenya,,,Macadamia Nut jan 25,,,
AGL KENYA LIMITED K-SITE,,Kenya,,,Macadamia Nut jan 25,,,
Agm Sportswears,,India,agmsport@yahoo.com,https://www.tradeindia.com/ ~search,Sports Tshirts,,,Sports T-shirts & activewear
AGNIELCOMMODITIES,,,Lucien@agnielcommodities.com / Sara@agnielcommodities.com / Sean@agnielcommodities.com,http://www.agnielcommodities.com/,WHITE CORN MAIZE,,"11 South Angell Street, Suite 352,Providence, Rhode Island 02906,USA",
AGRANTIS CORPORATION PRIVATE LIMITED,,713,no website,no website,Pulses,,,"KABULI CHANNA, PULSES"
"Agrapana Furniture, CV (Mitra Binaan Dinas Perindustrian dan Perdagangan Provinsi Jawa Tengah)",,,,Not found,List of Exhibitors for Indonesi,,,"House Furniture, Interior Products"
Agrastar,,,info@agrastar.com,https://agrastar.com/,RICE,,,RICE
AGREX OVERSEAS,,713,soya flour,https://www.agrexoverseas.com/,Pulses,,,"PULSES (BLACK GRAM, RED GRAM, GREEN GRAM, CHICKPEAS, HORSE GRAM, PIGEON PEA, COW PEA)"
AGREX SAIGON FOODSTUFFS JOINT STOCK COMPANY,,Vietnam,,,Rice list,,,
Agri Base Commodities,,,,,Cashew supplier for Middle Eas,,,
Agri Exim Global Philippines Inc,,Philippines,info@agrieximfze.com,https://agrieximorganic.com/,Dried Fruits List,,,soya beans seeds
Agri Exim Ltd,,Uganda,https://agrieximorganic.com/,info@agrieximfze.com,Chia Seeds NOv 24,,,
AGRI WING ORGANICS,,713,trader,https://agriwingorganics.com/,Pulses,,,"ALL TYPES OF - PULSES, LENTILS, CHICK PEAS (KABULI CHANA)"
Agrican International,,Canada,info@agrican.ca,https://agrican.ca/,Pulses,,,"conventional and organic lentils, peas, chickpeas, oats, milling barley, durum and spring"
Agricola Agrobosques San Isidro S.A.,,Chile,,,Chile from BRC,,,
Agricola Ballerina Chile Ltda.,,Chile,info@ballerina.cl,https://agricolaballerina.cl/en/home/,Nuts List,,,"Almonds, Walnuts"
AGRICOLA ECOLOGICA SAC,,Peru,"onilsson@interloom.com.pe, sales@agricolaecologicasb.com",https://www.agricolaecologicasb.com/,Quinoa -Nov24,,,
Agrícola El Carmen Ltda.,,Chile,,,Chile from BRC,,,
AGRICOLA EXPOAGROSOL SPA,,Chile,,,Chile from BRC,,,
Agrícola Las Rastras Spa.(Packing San Francisco),,Chile,,,Chile from BRC,,,
Agricola Los Del Monte Limitada,,Chile,,,Chile from BRC,,,
Agricola Lucas / AUREA INTERNACIONAL,,Brasil,comex@aureainternacional.com,https://aureainternacional.com/,Gulf food _ Pulses,,,"Pulses(CHIA SEEDS,SESAME SEEDS,NUTS,PEANUTS,POPCORN,GREEN MUNG BEANS,LSKB,RED BAMBOO BEANS)"
Agricola Portal Maule SpA,,Chile,,,Chile from BRC,,,
Agricola Siemel Ltda. Fundo El Parron,,Chile,,,Chile from BRC,,,
Agricola Trebol SPA,,Chile,,https://en.agricolaeltrebol.com/,Nuts List,,,"Pesticides, seeds, logistics"
Agrícola y Comercial Cabilfrut S.A.,,Chile,,,Chile from BRC,,,
Agricola y Frutera Curacavi S.A. - Planta Curacavi,,Chile,,,Chile from BRC,,,
Agricola y Frutera Curacavi S.A. - Planta Curicó,,Chile,,,Chile from BRC,,,
Agricola y Frutera Curacavi S.A. - Planta Polpaico,,Chile,,,Chile from BRC,,,
Agrícola y Packing Cachapoal S.A.,,Chile,,,Chile from BRC,,,
AGRICOM,,Canada,info@agricom.com,https://www.agricom.com/,"Import yeti,",,,RED LENTILS
AgriFood Commodities,,,info@agrifoodcommodities.com,https://agrifoodcommodities.com/en/productos/rice/,RICE,,,parboiled rice
AGRIFREEZ,,,info@agrifreez.fr,,SIAL FROZEN FOOD,,,Frozen Vegetables (organic and conventional)
AGRIHUSA,,,"bchian@agrihusa.com.pe, evilela@agrihusa.com.pe,cdiaz@agrihusa.com.pe",,Peru List sent by J,NO CERTIFICATIONS,,Fruit packing company
AGRIKIM  vietnam nuts and spices,,Vietnam,"Email: marian@agrikim.com
agrikim.jsc@gmail.com",https://agrikim.com/,Cashew Nov 24,,,
AGRIKIM IMPORT AND EXPORT JOINT STOCK COMPANY,,Vietnam,marian@agrikim.com/ agrikim.jsc@gmail.com,https://agrikim.com/,Cashew Nov 24,,,
Agrim Pte Ltd,,Indonesia,agrim@agrimLtd.com,https://www.agrimltd.com/,WHOLE PEPPER,,Indonesia,
Agrinuts Vietnam,,Vietnam,,,"Cashew, Jebel Ali",,,Cashew
"AGRINUTS VIETNAM TRADING CO.,LTD.",,Vietnam,"alex@agrinutsvietnam.com
traho@agrinutsvietnam.com",http://agrinutsvietnam.com.vn/,Cashew Nov 24,,,
AGRIPROCESS S.A.C,,Peru,sales@agriprocessperu.com,http://agriprocess-peru.com/,Quinoa -Nov24,,,
Agrisos srl,,Bolivia,https://agrisossrl.com/,info@agrisos.com,Chia Seeds NOv 24,,,
AGRISOUTH ESTATES (CHILE) S.A.,,Chile,,,Chile from BRC,,,
AGRITRADE,,,sales@agritradeperu.com,,Peru List sent by J,BRC,,"Quinoa, Chia seeds, brazil nuts"
AGRO ALEX GROUP CO for Agricultural Industrialization Import and export (Citrus fruits),,Egypt,info@agroalexgroup.com,https://www.agroalexgroup.com/,Fresh fruits and vegetables,,,
Agro Andino S.R.L.,,Peru,info@agroandino-peru.com,https://www.agroandino-peru.com/about-us-1,Dried Fruits List,,,"Dried Mango, Dried pineapple, dried  banana, dried blue berries, golden berries"
Agro Campo 10 S.R.L.,,Paraguay,https://agrocampo10srl.com.py/,comercial@agrocampo10srl.com.py,Chia Seeds NOv 24,,,
AGRO DECO,,,sales@agro-deco.com,https://www.agro-deco.com/,RICE,,,RICE
"Agro Diversas, S.A.",,Guatemala,contact@uhi.com.gt,https://www.uhi.com.gt/,Gulf food _ Pulses,,,Pulses(Cardamom)
AGRO EGYPT,,Fresh Fruits And Veg,,,Fresh Fruits and Veg,,,Fresh Fruits and Veg
Agro Entre Rios SPA,,Chile,,,Chile from BRC,,,
Agro Fergi SAC,,,,,,,,Conventional Quinoa
Agro Frost S.A.,,Peru,informes@agrofrost.com.pe,https://agrofrost.com.pe/contact/,Dried Fruits List,,,frozen fruits
Agro Frutillas San Pedro S.A.C,,Chile,,,Chile from BRC,,,
Agro Sur Latino S.A.C.,,Peru,david@agrosurlatino.com,https://agrosurlatino.com/,Quinoa -Nov24,,,
AGRO TRANSPORTES SA,,Argentina,,,Peanuts Jan 24,,,
"AGRO WORLD CO., LTD.",,Bangkok,sales@agroworldth.com,https://agroworldth.com/en/,Gulf food _ Pulses,,,Pulses(GRAINS AND OTHER PRODUCT)
Agro-Afrique Company Limited,,Tanzania,info@agro-afriquecoltd.com,https://agro-afriquecoltd.com/,Sunflower Oil- Nov24,,,
AgroAgro Fergi SAC,,Peru,jfernando@agrofergi.com.pe,https://www.agrofergi.com.pe/,Quinoa -Nov24,,,
"AGROAGUIAR, LDA",,,geral@agroaguiar.pt,,SIAL NUTS,,,"Fruits, nuts and vegetables(Frozen fruits  and dried fruits )"
Agrocomercial Quillota S.A.,,Chile,,,Chile from BRC,,,
AGROCOMERCIAL SAN ANTONIO LIMITADA,,Chile,,,Chile from BRC,,,
Agrocorp,,Canada,No email.. Please fill form on website,https://agrocorp.com.sg/,Pulses,,,"Lentils, Pulses, Grains, Edible Oils, Sugar"
AGROCROPS,,India,,,Dried fruits and Cashew Nuts,Certifications not received,,Peanuts
AGROEXPORTACIONES CHILE S.A.,,Chile,,,Chile from BRC,,,
Agroexportaciones del Sur S.R.L.,,Bolivia,agroexport@agroexport.com.bo,https://agroexport.com.bo/,Quinoa -Nov24,,,
Agrofino,,Peru,info@agrofino.com.pe,https://agrofino.com.pe/,Quinoa -Nov24,,,
AGROFROZEN SpA (JUHINEJ) (EX-Juan Anatolio Sepulveda Segura) /Sociedad Comercializadora Natural South Fruit S.A.,,Chile,,,Chile from BRC,,,
AGROFRUITCORP S.A.,,Ecuador,agrofruitcorp.ec@email.com,https://agrofruitcorp.com/,Fresh Fruits & Vegs,,,Food/fresh fruits -vegetables
AGROFRUT HELLAS - VASSILIS PANTAZIS S.A. - LECHENA,,Greece,info@agrofrut.gr,https://www.agrofrut.gr/en/,Nuts List,,,"almonds, inshell pistachios"
AGROFRUTA SERVICIOS LTDA.,,Chile,,,Chile from BRC,,,
AGROINDUSTRIA ARAGONESA S.A. (AGRINARSA),Fuentes de Ebro,Spain,,,Dried Fruits,Food,,
AGROINDUSTRIA FRUTOS DE ORO S.A.C.,,Peru,info@agrofruto.pe,https://www.agrofruto.pe/en/nosotros/,Dried Fruits List,,,FRESH FRUITS
Agroindustria Fundo Pontigo,,Chile,,,Chile from BRC,,,
Agroindustria Pinochet Fuenzalida Ltda,,Chile,,,Chile from BRC,,,
Agroindustria San Francisco Limitada,,Chile,,,Chile from BRC,,,
AGROINDUSTRIAL AGROCOL LIMITADA,,Chile,,,Chile from BRC,,,
Agroindustrial Almahue Ltda.,,Chile,,,Chile from BRC,,,
AGROINDUSTRIAL CAMPOS DEL MAULE SPA,,Chile,,,Chile from BRC,,,
Agroindustrial El Paico S.A.,,Chile,,,Chile from BRC,,,
Agroindustrial El Parron SPA,,Chile,,,Chile from BRC,,,
Agroindustrial Frutasol S.A.,,Chile,,,Chile from BRC,,,
AGROINDUSTRIAL LAS TRES ERRE SPA,,Chile,,,Nuts List,,,
AGROINDUSTRIAL PEDREGAL S.A.,,Chile,,,Chile from BRC,,,
Agroindustrial Surfrut Ltda. - Planta Deshidratados,,Chile,,,Chile from BRC,,,
Agroindustrial Surfrut Ltda. – Planta Romeral Cerezas,,Chile,,,Chile from BRC,,,
Agroindustrial Veal SPA,,Chile,,,Chile from BRC,,,
Agroindustrial y Comercial Superfruit Limitada,,Chile,,,Chile from BRC,,,
Agroindustrial y Comercial Superfuit - Planta Nueces,,Chile,,,Chile from BRC,,,
Agroindustrias AIB - Planta Norte,,Peru,contacto@aib.com.pe,https://www.aib.com.pe/,Dried Fruits List,,,"frozen, preserved, fresh, juices, ingredients and pulps, tropical fruits,"
AGROINDUSTRIAS OSHO S.A.C.,,Peru,ventas@agroindustriasosho.com,https://www.agroindustriasosho.com/,Quinoa -Nov24,,,
Agromani S.A,,Argentina,,,Peanuts Jan 24,,,
AGROMAR INDUSTRIAL,,,"agromar@agromarindustrial.com.pe
 sales@agromarindustrial.com.pe",,SIAL FROZEN FOOD,,,"Tropical fruits, fruit concentrates, essential oils"
AGROMAR INDUSTRIAL - PLANTA HUACHO,,Peru,,,Dried Fruits List,,,
Agromar Industrial S.A. Planta Pulpas y congelados IQF,,Peru,no email,https://www.agromarindustrial.com.pe/,Dried Fruits List,,,"Frozen frutis ,citrus fruits - key lime and persian lime - as well as mangoes,such as citrus fruits - key lime and persian lime - as well as mangoes,passion fruit and avocado,"
"Agromina Biotechnology, PT",,,,agrominawicaksana.com,List of Exhibitors for Indonesi,,,Coffee
AGROMINEX,,,info@agrominex.com /sales@agrominex.com,https://agrominex.com/,WHITE CORN MAIZE,,"Unit No. 114, 11th Floor,TATA Glendale, Gladys Alvares Road,Pokhran Road 2,Thane West – 400 610.",
AGRONEGOCIOS WIRACCOCHA DEL PERÚ S.A.C.,,Peru,info@wiraccocha.com.pe,wiraccocha.com.pe,Quinoa -Nov24,,,
Agronic Food Pvt. Ltd.,,India,,no website,Pulses,,,Food
Agroprodex Internacional S.A (Planta Paine),,Chile,,,Chile from BRC,,,
agroral import export srl,,Romania,agroalimportexport@gmail.com,https://agroralimportexportsrl.com/,Sunflower Oil- Nov24,,,
Agroreservas de Chile SPA,,Chile,,,Chile from BRC,,,
Agroseller S.R.L.,,Bolivia,info@agroseller.net,http://www.agroseller.net/brazil_nut_en.html,Brazil Nuts,,"Calle Limón #2015, Barrio Los Tusequis
Santa Cruz de la Sierra , Andrés Ibáñez Bolivia",Brazil Nuts
AGROSELLER SRL,,Bolivia,info@agroseller.net,https://www.facebook.com/Agroseller/?profile_tab_item_selected=photos&_rdr,Quinoa -Nov24,,,
AGROSERVICIOS AMAJO SPA,,Chile,,,Chile from BRC,,,
Agrosilos de la Region,,Mexico,Contacto@agrosilos.com.mx,https://www.agrosilos.com.mx/index.html,Gulf food _ Pulses,,,Pulses
Agrosuper,,Brazil,,https://www.agrosuper.com/global/products//#filter=.chicken,Chicken Feet,,,
AGROSUR VIVA ORGANIC SAC,,Peru,ventas@agrosurperu.com,https://www.agrosurperu.com/,Quinoa -Nov24,,,
Agrozzi Facility. Agroindustrial Division of Empresas Carozzi S.A.,,Chile,,,Chile from BRC,,,
"AGRUMAR, SOUSS",,Morocco,no website,,Fresh fruits and vegetables,,,
AGT Food and Ingredients,,Canada,info@agtfoods.com,http://agtfoods.com/,Red lentils Nov24,,,
AGT Foods,,,buying@agtfoods.com,,Pulses,,,
Ahmed Fine Textile Mills Ltd.,,Pakistan,,,Household Textiles,,"25 KM Khanewal Road, Qadir Pur Ran, Multan, Punjab, PAKISTAN",
Ahmed Fine Textile Mills Ltd. (Faisal Group),,Pakistan,,,Signed Contract,,,Terry Towels and Terry Bathrobes
AHUJA IMPEX,,713,trader,https://www.ahuja-impex.com/,Pulses,,,PULSES
