Company Name,Address,Country,Website Address,Product name,Email Id,Contact ,Remark,Contact Name  ,COMMENTS ,29.7.2023,31.07.2023,1.08.2023,2.08.2023,3.08.2023,4.08.2023,5.08.2023,7.08.2023,8.823,,10.8.2023,14.08.2023,16.08.23,18.8.23,23.8.23
Martex Farms S.E (Global Gap),"PO Box 786, Santa Isabel, PR  00757",Brazil,https://martexfarms.com/,Mango/other fruits ,veny@martexfarms.com,787 845 4909,,Mr Marti ,PRICES RECEIVED BUT HOLD FOR MORE SUPPLIERS ,,,,,,,,,,,,,,,
MEXICO,,,,,,,,,,,,,,,,,,,,,,,,
FRUTAS MARFER ,"Central de Abasto of Mexico City, Ejidos del Moral
09040",Mexico,https://www.frutas-marfer.com/,GRAPES/other fruits   ,toralesm2016@gmail.com,no contact on ,,,EMAIL SENT BUT NO RESPONSE ,reminder sent,reminder sent,,,,,,no response ,,,,,,,
PERU,,,,,,,,,,,,,,,,,,,,,,,,
Namaskar SAC,"Calle Martin de Murua 150, Edificio Plexus, San Miguel,Lima, Peru.",Peru,https://www.agrilatin.com/,mangoes ,peru@agrilatin.com/utsavsharan@gmail.com,51 921959407 /,,,EMAIL SENT BUT NO RESPONSE ,reminder sent,reminder sent,,,,,,no response ,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Inca Invest ,"Av. Almirante Grau 1350 oficina 819- Barranco, Lima. PERU",Peru,https://www.incainvest.com/,Fruits,aurelie@incainvest.com,51 969 654 054,,,EMAIL SENT BUT NO RESPONSE ,reminder sent ,reminder sent,,,,,,no response ,,,,,,,
INDIA ,,,,,,,,,,,,,,,,,,,,,,,,
FRESH TROP,GUJRAT,India ,https://freshtrop.com/,Fruits,info@freshtrop.com,7940307050 -57,,CALLED UP they have global gap but currently mango not avilable ,,email sent as phone not connected ,called up but no response ,,,,,,no response ,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
KAYBEE EXPORTS ,MUMBAI ,,https://kaybeeexports.com/fruits/,Fruits/ VEGETABLE ,,8879000973,,Mr Bhavik,"CALLED UP  they have global gap for mangoes but now it is a off season so not available, and now avaliable only pomegranate   ",,call and email sent for prices ,Mango prices received ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
SAHYADRI FARMS ,NASHIK,,https://www.sahyadrifarms.com/,fresh fruits,info@sahyadrifarms.com,1800 212 002 020,,,CALLED UP they have global gap but currently mango not avilable ,,email sent as phone not connected ,called up but no response ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
FRESH TROP,GUJRAT,,https://freshtrop.com/,fresh fruits,info@freshtrop.com,7940307050 -57,,,CALLED UP they have global gap but currently mango not avilable ,,email sent as phone not connected ,called up but no response ,,,,,,,,,,,,
KAYBEE EXPORTS ,MUMBAI ,India ,https://kaybeeexports.com/fruits/,Fruits,bhavik@kaybeeexports.com,8879000973,,"CALLED UP  they have global gap for mangoes but now it is a off season so not available, and now avaliable only pomegranate   ",,call and email sent for prices ,Mango prices received ,,,,,Prices received ,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
SAHYADRI FARMS ,NASHIK,India ,https://www.sahyadrifarms.com/,Fruits,info@sahyadrifarms.com,1800 212 002 020,,CALLED UP they have global gap but currently mango not avilable ,,email sent as phone not connected ,called up but no response ,,,,"reply received no season, connect with next season",sent mail for prices ,,,,,"received contact , tried to call but no response ",tried to call but no response,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
ARIDOM,"Km. 7 ½ Carretera Sabaneta, La Vega, Dom. Rep.",,http://www.aridomsrl.com/,,"info@aridomsrl.com, aridomsrl@gmail.com",1-(718) 360-4687,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,
